Food Name,Calories,Protein_g,Carbohydrates_g,taste,Ingredients,prep_time,Instructions,Description,Fat,No_serving
kodo millet pulao - keralite style,160,7,21,"Salty, Astringent","Kodo Millet, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Barley. Dice Carrot. Heat Olive Oil, add Cumin, mix Barley and Carrot, and serve warm.","Low GI, high fiber, diabetes-friendly.",4,2–3
chana dal with fenugreek leaves,165,6,21,"Salty, Bitter","Chana Dal, Fenugreek Leaves, Olive Oil, Cumin, Salt",Total 35 M,"Prepare Jowar batter. Heat Olive Oil on tawa, pour batter, cook both sides, adjust salt, and serve warm.","High protein, stabilizes blood sugar, fiber-rich.",5,1
carrot barley bowl,165,6,21,"Salty, Astringent","Carrot, Barley, Olive Oil, Cumin, Salt",Total 30 M,"Cook Kodo Millet. Heat Olive Oil, add Cumin, cook 5–7 mins, adjust salt, and serve warm.","Fiber-rich, low GI, diabetes-friendly.",2.5,3
jowar dosa - mangalorean,160,6,21,"Salty, Astringent","Jowar, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Chickpea. Dice Pumpkin. Heat Olive Oil, add Cumin, mix and simmer 5–7 mins, and serve warm.","Low GI, stabilizes blood sugar, rich in fiber.",4,3
kodo millet upma,165,6,21,"Salty, Astringent","Kodo Millet, Olive Oil, Cumin, Salt",Total 30 M,"Cook Brown Rice. Heat Olive Oil, add Cumin, sauté 5 mins, adjust salt, and serve warm.","Fiber-rich, low GI, stabilizes blood sugar.",3,3–4
pumpkin and chickpea curry,165,6,21,"Salty, Bitter","Pumpkin, Chickpea, Olive Oil, Cumin, Salt",Total 35 M,"Chop Cluster Beans. Heat Olive Oil, add Cumin, sauté 5–7 mins, adjust salt, and serve warm.","High protein, low GI, diabetes-friendly.",6,2–3
brown rice upma - punjabi style,160,7,21,"Salty, Astringent","Brown Rice, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Chop Broccoli. Steam 5–7 mins. Toss with Olive Oil, Lemon, Salt, Pepper, and serve with herbs.","Low GI, fiber-rich, stabilizes blood sugar.",3,2–3
cluster beans pancake,155,6,20,"Salty, Astringent","Cluster Beans, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Wash and chop Radish. Mix with Sprouts. Heat Olive Oil, add Cumin, sauté 3–5 mins, and serve warm.","High protein, low GI, diabetes-friendly.",2,3–4
broccoli salad,155,6,20,"Salty, Astringent","Broccoli, Olive Oil, Lemon, Salt, Black Pepper",Total 20 M,"Wash Spinach. Heat Olive Oil, add Cumin, sauté 5 mins, adjust salt, and serve warm.","Rich in fiber, antioxidants, stabilizes glucose.",4,3
radish sprout bowl,150,6,19,"Salty, Bitter","Radish, Sprouts, Olive Oil, Cumin, Salt",Total 20 M,"Prepare Brown Rice batter. Heat Olive Oil on tawa, pour batter, cook both sides, adjust salt, and serve warm.","Fiber-rich, low GI, helps control blood sugar.",4,2–3
spinach muthia,160,6,21,"Salty, Astringent","Spinach, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Prepare Ragi batter. Heat Olive Oil on tawa, cook dosa both sides, adjust salt, and serve warm.","Iron and fiber-rich, stabilizes glucose.",3.5,3
brown rice dosa - chettinad style,155,6,20,"Salty, Astringent","Brown Rice, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Dice Beetroot. Heat Olive Oil, add Cumin, sauté 5–7 mins, adjust salt, and serve warm.","Low GI, fiber-rich, diabetes-friendly.",5,2–3
ragi dosa - mangalorean,165,6,21,"Salty, Astringent","Ragi, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Prepare Jowar batter. Heat Olive Oil on tawa, cook evenly, adjust salt, and serve warm.","High calcium, low GI, stabilizes blood sugar.",4,3
beetroot curry,160,6,21,"Bitter, Salty","Beetroot, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Cook Quinoa. Heat Olive Oil, add Cumin, sauté 5 mins, adjust salt, and serve warm.","Fiber-rich, antioxidants, stabilizes glucose.",5,3
jowar roll,150,6,19,"Salty, Astringent","Jowar, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Chop Ivy Gourd. Heat Olive Oil, add Cumin, sauté 5 mins, adjust salt, and serve warm.","Low GI, high fiber, diabetes-friendly.",6,2
quinoa cutlet,155,6,20,"Salty, Astringent","Quinoa, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Prepare Black Rice batter. Heat Olive Oil on tawa, cook pancake evenly, adjust salt, and serve warm.","High protein, stabilizes blood sugar.",4,2
ivy gourd tikki,150,6,19,"Salty, Astringent","Ivy Gourd, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Cook Toor Dal. Prepare batter. Heat Olive Oil, pour batter, cook both sides, adjust salt, and serve warm.","Low GI, fiber-rich, diabetes-friendly.",3,2
black rice no-oil pancake,155,6,20,"Salty, Astringent","Black Rice, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Barnyard Millet. Chop Okra. Heat Olive Oil, add Cumin, mix and sauté 5–7 mins, and serve warm.","Antioxidant-rich, stabilizes blood sugar.",4,2
toor dal cheela,160,6,21,"Salty, Astringent","Toor Dal, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Chop Ridge Gourd. Heat Olive Oil, add Cumin, sauté 5 mins, adjust salt, and serve warm.","Protein-rich, low GI, diabetes-friendly.",3.5,2–3
okra barnyard millet bowl,165,6,21,"Salty, Astringent","Okra, Barnyard Millet, Olive Oil, Cumin, Salt",Total 30 M,"Chop Cabbage. Cook Millet. Heat Olive Oil, add Cumin, mix Cabbage and Millet 5 mins, and serve warm.","High fiber, stabilizes glucose.",6,2
ridge gourd cutlet,160,6,21,"Salty, Astringent","Ridge Gourd, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Cook Bajra. Heat Olive Oil, add Cumin, mix, simmer 5–7 mins, adjust salt, and serve warm.","Low GI, fiber-rich, diabetes-friendly.",5,3–4
cabbage millet bowl,150,6,19,"Salty, Astringent","Cabbage, Millet, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Chop Fenugreek Leaves. Heat Olive Oil, add Cumin, sauté 5 mins, adjust salt, and serve warm.","Fiber-rich, stabilizes blood sugar.",3,3–4
bajra khichdi - konkani style,155,6,20,"Salty, Astringent","Bajra, Olive Oil, Cumin, Salt, Turmeric",Total 35 M,"Cook Millet. Heat Olive Oil, add Cumin, mix, simmer 5 mins, adjust salt, and serve warm.","Low GI, stabilizes blood sugar, high protein.",2.5,2
Peas pakora,165,6,21,"Salty, Astringent","Fenugreek Leaves, Olive Oil, Cumin, Salt",Total 25 M,"Chop Fenugreek Leaves. Heat Olive Oil, add Cumin, sauté leaves 5 mins. Adjust salt and serve warm.","Fiber-rich, low GI, diabetes-friendly.",6,2–3
millet khichdi - hyderabadi style,165,6,21,"Salty, Astringent","Millet, Olive Oil, Cumin, Salt, Turmeric",Total 35 M,"Cook Millet. Heat Olive Oil, add Cumin and Turmeric, mix and simmer 5 mins. Adjust salt and serve warm.","Low GI, stabilizes glucose, fiber-rich.",2.5,2
chana dal wrap,160,6,21,"Salty, Astringent","Chana Dal, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Chana Dal. Heat Olive Oil, add Cumin and Turmeric, mix dal with spices, roll in wrap and serve warm.","High protein, low GI, helps control blood sugar.",5,2
broccoli pops,160,6,21,"Salty, Astringent","Broccoli, Olive Oil, Cumin, Salt, Turmeric",Total 20 M,"Chop Broccoli. Heat Olive Oil, add Cumin and Turmeric, sauté broccoli 5–7 mins. Adjust salt and serve warm.","Fiber-rich, stabilizes glucose, diabetes-friendly.",4,2–3
carrot and toor dal curry,165,6,21,"Salty, Astringent","Carrot, Toor Dal, Olive Oil, Cumin, Salt",Total 30 M,"Cook Toor Dal. Chop Carrot. Heat Olive Oil, add Cumin, mix dal and carrot, cook 5–7 mins and serve warm.","Rich in fiber and protein, supports stable blood sugar.",1.5,2
ridge gourd roll,155,6,20,"Salty, Astringent","Ridge Gourd, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Chop Ridge Gourd. Heat Olive Oil, add Cumin and Turmeric, sauté 5 mins, roll with cooked batter and serve warm.","Low GI, fiber-rich, diabetes-friendly.",4,2–3
black bean with snake gourd,155,6,20,"Salty, Astringent","Black Bean, Snake Gourd, Olive Oil, Cumin, Salt",Total 30 M,"Cook Black Beans. Chop Snake Gourd. Heat Olive Oil, add Cumin, mix beans and gourd 5 mins and serve warm.","Protein-rich, stabilizes glucose levels.",2,2–3
rajgira sabzi,155,6,20,"Salty, Astringent","Rajgira, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Cook Rajgira. Heat Olive Oil, add Cumin and Turmeric, mix and sauté 5 mins. Adjust salt and serve warm.","High protein, low GI, diabetes-friendly.",2.5,2
buckwheat balls,160,6,21,"Salty, Astringent","Buckwheat, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Buckwheat. Mash lightly, form balls. Heat Olive Oil, sauté 5 mins. Adjust salt and serve warm.","Fiber-rich, low GI, supports stable blood sugar.",5,2
fenugreek leaves Wheat bowl,165,6,21,"Salty, Astringent","Fenugreek Leaves, Olive Oil, Cumin, Salt, Buckwheat",Total 25 M,"Chop Fenugreek Leaves. Cook Buckwheat. Heat Olive Oil, add Cumin, mix leaves and buckwheat 5 mins and serve warm.","Rich in iron and fiber, stabilizes glucose.",6,2–3
cluster beans chilla,150,6,19,"Salty, Astringent","Cluster Beans, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Chop Cluster Beans. Heat Olive Oil, add Cumin and Turmeric, sauté 5–7 mins. Adjust salt and serve warm.","Protein-rich, low GI, diabetes-friendly.",3,2
snake gourd grill,145,5,20,"Salty, Astringent","Snake Gourd, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Chop Snake Gourd. Heat Olive Oil, add Cumin and Turmeric, sauté 5–7 mins. Adjust salt and serve warm.","Low GI, high fiber, stabilizes blood sugar.",4,2
moringa leaves oats bowl,155,6,20,"Salty, Astringent","Moringa Leaves, Oats, Olive Oil, Cumin, Salt",Total 30 M,"Cook Oats. Chop Moringa Leaves. Heat Olive Oil, add Cumin, mix leaves with oats 5 mins and serve warm.","Nutrient-rich, fiber-rich, supports glucose control.",3,2
amaranth idli - rajasthani style,160,6,21,"Salty, Astringent","Amaranth, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Amaranth. Prepare batter. Heat Olive Oil, pour batter, cook both sides. Adjust salt and serve warm.","Low GI, protein-rich, diabetes-friendly.",2,1
moringa leaves pakora,150,5,19,"Salty, Astringent","Moringa Leaves, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Chop Moringa Leaves. Heat Olive Oil, add Cumin and Turmeric, sauté 5–7 mins. Adjust salt and serve warm.","High iron and fiber, stabilizes blood sugar.",2.5,3–4
moringa leaves roll,160,6,21,"Salty, Astringent","Moringa Leaves, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Chop Moringa Leaves. Heat Olive Oil, add Cumin, roll leaves with cooked batter, adjust salt and serve warm.","Low GI, nutrient-dense, supports glucose control.",3,2
lentil dosa,150,5,19,"Salty, Astringent","Lentil, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Lentils. Prepare batter. Heat Olive Oil, pour batter, cook both sides. Adjust salt and serve warm.","High protein, low GI, diabetes-friendly.",3,2–3
sattu pulao - maharashtrian style,155,6,20,"Salty, Astringent","Sattu, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Roast Sattu lightly. Heat Olive Oil, add Cumin, cook with water and spices, simmer 10 mins and serve warm.","High protein, low GI, helps control blood sugar.",2.5,2
sorghum pulao - konkani style,165,6,21,"Salty, Astringent","Sorghum, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Sorghum. Heat Olive Oil, add Cumin, mix cooked sorghum with spices, simmer 5 mins and serve warm.","Fiber-rich, stabilizes glucose, diabetes-friendly.",4,2
ivy gourd and black bean curry,160,6,21,"Salty, Astringent","Ivy Gourd, Black Bean, Olive Oil, Cumin, Salt",Total 30 M,"Cook Black Beans. Chop Ivy Gourd. Heat Olive Oil, add Cumin, mix beans and gourd 5–7 mins and serve warm.","Protein-rich, helps maintain stable blood sugar.",3,2
beetroot khichdi,150,6,19,"Salty, Astringent","Beetroot, Olive Oil, Cumin, Salt, Turmeric, Moong Dal",Total 35 M,"Cook Moong Dal. Grate Beetroot. Heat Olive Oil, add Cumin, mix beetroot with dal, simmer 5–7 mins and serve warm.","Fiber and protein-rich, helps regulate blood sugar.",4,1
amaranth pulao - konkani style,155,6,20,"Salty, Astringent","Amaranth, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Amaranth. Heat Olive Oil, add Cumin and Turmeric, mix amaranth with spices, simmer 5 mins and serve warm.","Low GI, rich in protein, supports glucose control.",3.5,2
broccoli barley bowl,165,6,21,"Salty, Astringent","Broccoli, Barley, Olive Oil, Cumin, Salt",Total 30 M,"Cook Barley. Chop Broccoli. Heat Olive Oil, add Cumin, mix barley and broccoli, cook 5–7 mins and serve warm.","Fiber-rich, helps maintain stable blood sugar.",4,2
brown rice stir-fry,160,6,21,"Salty, Astringent","Brown Rice, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Brown Rice. Heat Olive Oil, add Cumin, sauté rice 5 mins. Adjust salt and serve warm.","Low GI, rich in fiber, diabetes-friendly.",4,2
pumpkin foxtail millet bowl,150,6,19,"Salty, Astringent","Pumpkin, Foxtail Millet, Olive Oil, Cumin, Salt",Total 30 M,"Cook Foxtail Millet. Chop Pumpkin. Heat Olive Oil, add Cumin, mix millet and pumpkin 5 mins and serve warm.","Low GI, rich in fiber and vitamins, supports glucose control.",3.5,2
Peas bowl,155,6,20,"Salty, Astringent","Peas, Olive Oil, Cumin, Salt, Turmeric",Total 20 M,"Boil Peas. Heat Olive Oil, add Cumin and Turmeric, sauté peas 5 mins. Adjust salt and serve warm.","Rich in fiber and protein, diabetes-friendly.",3,2
cabbage salad,160,6,21,"Salty, Astringent","Cabbage, Olive Oil, Cumin, Salt, Turmeric",Total 20 M,"Chop Cabbage. Heat Olive Oil, add Cumin and Turmeric, sauté cabbage 5–7 mins. Adjust salt and serve warm.","High fiber, stabilizes blood sugar.",3.5,2
foxtail millet upma - bihari style,155,6,20,"Salty, Astringent","Foxtail Millet, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Foxtail Millet. Heat Olive Oil, add Cumin and Turmeric, mix millet with spices, simmer 5 mins and serve warm.","Fiber-rich, low GI, supports glucose control.",5,1–2
foxtail millet dosa - maharashtrian style,150,6,19,"Salty, Astringent","Foxtail Millet, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Prepare batter with cooked Foxtail Millet. Heat Olive Oil, pour batter, cook both sides. Adjust salt and serve warm.","Low GI, protein-rich, stabilizes glucose.",2,1–2
mushroom pearl millet bowl,155,6,20,"Salty, Astringent","Mushroom, Pearl Millet, Olive Oil, Cumin, Salt",Total 30 M,"Cook Pearl Millet. Chop Mushrooms. Heat Olive Oil, add Cumin, mix millet and mushrooms, sauté 5 mins and serve warm.","Protein and fiber-rich, diabetes-friendly.",6,1
mushroom kofta,160,6,21,"Salty, Astringent","Mushroom, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Chop Mushrooms. Heat Olive Oil, add Cumin and Turmeric, sauté mushrooms 5–7 mins. Add spices and serve warm.","Low GI, rich in antioxidants, supports glucose control.",4,1
barley khichdi - assamese style,150,5,19,"Salty, Astringent","Barley, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Barley. Heat Olive Oil, add Cumin and Turmeric, sauté barley with spices 5 mins. Adjust salt and serve warm.","Fiber-rich, helps stabilize blood sugar.",2,4
carrot cutlet,155,6,20,"Salty, Astringent","Carrot, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Grate Carrot. Heat Olive Oil, add Cumin and Turmeric, mix carrot, form cutlets, bake or sauté 5–7 mins and serve warm.","Rich in fiber and antioxidants, diabetes-friendly.",2,2
ash gourd mash,160,6,21,"Salty, Astringent","Ash Gourd, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Peel and chop Ash Gourd. Heat Olive Oil, add Cumin, mash cooked gourd, sauté 5 mins and serve warm.","Low GI, high water content, helps regulate glucose.",5,1
pearl millet dosa - chettinad style,165,6,21,"Salty, Astringent","Pearl Millet, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Prepare Pearl Millet batter. Heat Olive Oil, pour batter on pan, cook both sides 5–7 mins and serve warm.","Low GI, protein-rich, helps regulate blood sugar.",2.5,2
bajra pongal - assamese style,150,6,19,"Salty, Astringent","Bajra, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Bajra. Heat Olive Oil, add Cumin and Turmeric, mix cooked Bajra, simmer 10 mins and serve warm.","Fiber-rich, stabilizes glucose, diabetes-friendly.",3.5,1
red rice dosa - rajasthani style,155,6,20,"Salty, Astringent","Red Rice, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Prepare Red Rice batter. Heat Olive Oil, pour batter on pan, cook both sides 5–7 mins and serve warm.","Low GI, rich in fiber, supports stable blood sugar.",3,2
ragi pops,160,6,21,"Salty, Astringent","Ragi, Olive Oil, Cumin, Salt, Turmeric",Total 20 M,"Roast Ragi flour lightly. Mix with water and spices, form small balls, steam or bake 5–7 mins and serve warm.","Protein and fiber-rich, diabetes-friendly.",2.5,3
barley balls,165,6,21,"Salty, Astringent","Barley, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Cook Barley. Mash and shape into balls. Heat Olive Oil, sauté balls 5 mins. Adjust salt and serve warm.","Fiber-rich, helps maintain blood sugar.",2,3
jowar muthia,155,6,20,"Salty, Astringent","Jowar, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Cook Jowar. Mix with Olive Oil and spices, form muthia, steam or bake 5–7 mins and serve warm.","Protein-rich, stabilizes glucose levels.",5,2
Peas balls,160,6,21,"Salty, Astringent","Peas, Olive Oil, Cumin, Salt",Total 20 M,"Boil Peas. Mash and form balls. Heat Olive Oil, sauté 5 mins. Adjust salt and serve warm.","Fiber and protein-rich, helps control blood sugar.",3.5,2
buckwheat dosa - chettinad style,150,6,19,"Salty, Astringent","Buckwheat, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Prepare Buckwheat batter. Heat Olive Oil, pour batter on pan, cook both sides 5–7 mins and serve warm.","Low GI, protein-rich, diabetes-friendly.",5,2
snake gourd tikki,155,6,20,"Salty, Astringent","Snake Gourd, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Chop Snake Gourd. Mash and mix with spices, form small tikkis, air-fry or bake 5–7 mins and serve warm.","High fiber, low GI, supports glucose control.",4,2
black gram salad,160,6,21,"Salty, Astringent","Black Gram, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Cook Black Gram. Heat Olive Oil, add Cumin and Turmeric, mix and sauté 5 mins. Adjust salt and serve warm.","Protein-rich, diabetes-friendly.",3.5,2
black gram salad bowl,165,6,21,"Salty, Astringent","Black Gram, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Cook Black Gram. Chop vegetables. Heat Olive Oil, add Cumin, mix all, sauté 5–7 mins and serve warm.","Fiber and protein-rich, stabilizes blood sugar.",3,2
bitter gourd and masoor dal curry,155,6,20,"Bitter, Salty","Bitter Gourd, Masoor Dal, Olive Oil, Cumin, Salt",Total 30 M,"Cook Masoor Dal. Chop Bitter Gourd. Heat Olive Oil, add Cumin, mix dal and gourd, simmer 10 mins and serve warm.","Bitter flavor helps regulate glucose, protein-rich.",2.5,2
barnyard millet dosa - bihari style,150,6,19,"Salty, Astringent","Barnyard Millet, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Prepare Barnyard Millet batter. Heat Olive Oil, pour batter on pan, cook both sides 5–7 mins and serve warm.","Low GI, fiber-rich, diabetes-friendly.",3,2
bitter gourd roll,155,6,20,"Bitter, Salty","Bitter Gourd, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Chop Bitter Gourd. Heat Olive Oil, add Cumin, mix and shape rolls, bake or sauté 5–7 mins and serve warm.","Helps reduce blood sugar spikes, high fiber.",2.5,2
ash gourd dhokla,160,6,21,"Salty, Astringent","Ash Gourd, Olive Oil, Cumin, Salt",Total 25 M,"Grate Ash Gourd. Prepare batter. Pour into dhokla tray, steam 10–12 mins and serve warm.","Low GI, hydrating, supports glucose control.",4,2
barnyard millet khichdi - keralite style,165,6,21,"Salty, Astringent","Barnyard Millet, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Barnyard Millet. Mix with Olive Oil, Cumin and Salt, simmer 10 mins, adjust consistency and serve warm.","Fiber-rich, low GI, diabetes-friendly.",6,2
cauliflower muthia,150,6,19,"Salty, Astringent","Cauliflower, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Grate Cauliflower. Mix with Olive Oil, Cumin and Salt, shape into muthia, steam 10 mins and serve warm.","Low GI, fiber-rich, helps regulate blood sugar.",3,1
cluster beans and masoor dal curry,155,6,20,"Salty, Astringent","Cluster Beans, Masoor Dal, Olive Oil, Cumin, Salt",Total 30 M,"Cook Masoor Dal. Chop Cluster Beans. Heat Olive Oil, add Cumin, mix and simmer 10 mins and serve warm.","Protein and fiber-rich, diabetes-friendly.",1,1
pearl millet stuffed pepper,160,6,21,"Salty, Astringent","Pearl Millet, Bell Pepper, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Pearl Millet. Hollow Bell Pepper. Mix millet with Olive Oil and spices, stuff peppers, bake 10–12 mins and serve warm.","Low GI, nutrient-rich, helps stabilize blood sugar.",2,1
rajgira dosa - south indian,155,6,20,"Salty, Astringent","Rajgira, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Prepare Rajgira batter. Heat Olive Oil, pour batter on pan, cook both sides 5–7 mins and serve warm.","Protein-rich, gluten-free, diabetes-friendly.",2,1
barley pongal - maharashtrian style,160,6,21,"Salty, Astringent","Barley, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Barley. Heat Olive Oil, add Cumin and Turmeric, mix cooked Barley, simmer 10 mins and serve warm.","Fiber-rich, stabilizes glucose levels.",1.5,1
Wheat upma - bihari style,150,6,19,"Salty, Astringent","Wheat, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Roast Wheat. Mix with Olive Oil, Cumin and Salt. Cook 10 mins, stir occasionally and serve warm.","Low GI, fiber-rich, diabetes-friendly.",1,1
barley khichdi - goan style,155,6,20,"Salty, Astringent","Barley, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Barley. Heat Olive Oil, add Cumin and Turmeric, mix Barley and spices, simmer 10 mins and serve warm.","Fiber-rich, helps regulate blood sugar.",1,1
foxtail millet pongal - hyderabadi style,160,6,21,"Salty, Astringent","Foxtail Millet, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Cook Foxtail Millet. Heat Olive Oil, add Cumin and Turmeric, mix Millet, simmer 10 mins and serve warm.","Low GI, protein-rich, diabetes-friendly.",1.5,1
masoor dal with ridge gourd,165,6,21,"Salty, Astringent","Masoor Dal, Ridge Gourd, Olive Oil, Cumin, Salt",Total 30 M,"Cook Masoor Dal. Chop Ridge Gourd. Heat Olive Oil, add Cumin, mix Dal and Gourd, simmer 10 mins and serve warm.","High protein and fiber, supports glucose control.",2,1
bottle gourd curry,155,6,20,"Salty, Astringent","Bottle Gourd, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Chop Bottle Gourd. Heat Olive Oil, add Cumin and Turmeric, cook Gourd 10 mins, adjust salt and serve warm.","Low GI, hydrating, diabetes-friendly.",1.5,1
bottle gourd porridge,150,6,19,"Salty, Astringent","Bottle Gourd, Olive Oil, Cumin, Salt, Turmeric",Total 20 M,"Grate Bottle Gourd. Boil until soft. Heat Olive Oil, add Cumin, mix and simmer 5–7 mins and serve warm.","Fiber-rich, stabilizes blood sugar.",1,1
cluster beans and urad dal curry,155,6,20,"Salty, Astringent","Cluster Beans, Urad Dal, Olive Oil, Cumin, Salt",Total 30 M,"Cook Urad Dal. Chop Cluster Beans. Heat Olive Oil, add Cumin, mix Dal and Beans, simmer 10 mins and serve warm.","High protein, fiber-rich, supports glucose control.",2,1
toor dal kebab,160,6,21,"Salty, Astringent","Toor Dal, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Cook Toor Dal. Mash lightly. Heat Olive Oil, add Cumin. Mix dal and simmer. Serve warm.","Protein-rich, low GI, diabetes-friendly.",1.5,1
snake gourd pakora,150,6,19,"Salty, Astringent","Snake Gourd, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Chop Snake Gourd. Heat Olive Oil, add Cumin. Form pakoras. Bake or air-fry. Serve warm.","High fiber, low GI, supports blood sugar control.",6,1
buckwheat pongal - mangalorean,155,6,20,"Salty, Astringent","Buckwheat, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,Cook Buckwheat. Mix with Olive Oil and spices. Simmer. Adjust consistency. Serve warm.,"Low GI, protein-rich, diabetes-friendly.",3,1
sattu upma - maharashtrian style,160,6,21,"Salty, Astringent","Sattu, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Roast Sattu lightly. Mix with Olive Oil and spices. Cook, stirring occasionally. Serve warm.","High protein, fiber-rich, stabilizes blood sugar.",3.5,1
quinoa idli - assamese style,165,6,21,"Salty, Astringent","Quinoa, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Cook Quinoa. Heat Olive Oil, add Cumin. Mix Quinoa. Simmer. Serve warm.","Low GI, protein-rich, diabetes-friendly.",4,1
beetroot dosa,150,6,19,"Salty, Astringent","Beetroot, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,Grate Beetroot. Mix with Olive Oil and spices. Heat on pan. Adjust salt. Serve warm.,"Fiber and nutrient-rich, helps maintain stable glucose.",2.5,1
jowar upma - hyderabadi style,155,6,20,"Salty, Astringent","Jowar, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Cook Jowar. Heat Olive Oil, add Cumin. Mix Jowar. Simmer. Serve warm.","Low GI, protein-rich, supports blood sugar control.",3,1
masoor dal upma,160,6,21,"Salty, Astringent","Masoor Dal, Olive Oil, Cumin, Salt",Total 25 M,"Cook Masoor Dal. Heat Olive Oil, add Cumin. Mix and simmer. Adjust salt. Serve warm.","Protein-rich, fiber-rich, diabetes-friendly.",4,1
buckwheat grill,155,6,20,"Salty, Astringent","Buckwheat, Olive Oil, Cumin, Salt, Turmeric",Total 25 M,"Roast Buckwheat. Heat Olive Oil, add Cumin. Mix Buckwheat with spices. Grill. Serve warm.","High fiber, low GI, stabilizes blood sugar.",3,1
oats pongal - chettinad style,150,6,19,"Salty, Astringent","Oats, Olive Oil, Cumin, Salt, Turmeric",Total 30 M,"Cook Oats. Heat Olive Oil, add Cumin. Mix with Oats. Simmer. Serve warm.","Low GI, protein-rich, diabetes-friendly.",3,1
ivy gourd soup,155,6,20,"Salty, Sour","Ivy Gourd, Olive Oil, Cumin, Salt, Tamarind",Total 25 M,"Chop Ivy Gourd. Heat Olive Oil, add Cumin. Cook Ivy Gourd. Add Tamarind for tang. Serve warm.","High fiber, regulates glucose levels, aids digestion.",2.5,1
sattu roti,160,6,21,"Salty, Astringent","Sattu, Olive Oil, Cumin, Salt",Total 20 M,Knead Sattu dough. Roll into flat rotis. Cook both sides. Brush with Olive Oil. Serve warm.,"Protein-rich, low GI, supports blood sugar control.",3.5,1
