Food Name,Calories,Protein_g,Carbohydrates_g,taste,Ingredients,prep_time,Instruction,Description,Fat,No_serving,
Chana Dal Steamed,210,10,12,"Salty, Astringent","Chana Dal, Garlic, Onion, Tomato, Herbs, Black Pepper, Olive Oil, Salt",Total: 15 mins,"Steam chana dal with garlic, onion, tomato, herbs, black pepper, olive oil, and salt until tender, then serve warm.","Chana dal steamed provides lutein and vitamin A, supporting retinal function.",3,2,
Chana Dal Pan-fried,220,0,8,"Salty, Astringent","Chana Dal, Garlic, Black Pepper, Curry Leaves, Mustard Seeds, Sunflower Oil, Salt",Total: 15 mins,"Heat sunflower oil, splutter mustard seeds with curry leaves, add crushed garlic, black pepper, cooked chana dal, and salt, and pan?fry until crisp.","Chana dal pan-fried delivers beta-carotene and lutein, promoting eye health.",4,2,
Chana Dal Stir Fry,230,22,15,"Salty, Astringent","Chana Dal, Wheat Flour, Green Chili, Onion, Coriander, Cumin Seeds, Mustard Oil, Salt",Total: 25 mins,"Heat mustard oil, crackle cumin seeds, sauté onion, green chili, and coriander, toss in cooked chana dal with salt and a dusting of wheat flour, and stir?fry hot.","Chana dal stir fry provides lutein and vitamin A, supporting retinal function.",1,2,
Chana Dal Smoked,210,20,10,"Salty, Astringent","Chana Dal, Bread, Onion, Tomato, Green Chili, Coriander, Mayonnaise, Salt",Total: 20 mins,"Mix chana dal with onion, tomato, green chili, coriander, mayo, and salt, sandwich in toasted bread, and dome briefly with smoke before serving.","Chana dal smoked delivers beta-carotene and lutein, promoting eye health.",2,2,
Chana Dal Marinated,220,6,4,"Salty, Astringent","Chana Dal, Cucumber, Tomato, Onion, Green Chili, Lemon Juice, Coriander, Salt",Total: 20 mins,"Toss cooled cooked chana dal with cucumber, tomato, onion, green chili, lemon juice, coriander, and salt, and chill 10 minutes.","Chana dal marinated provides lutein and vitamin A, supporting retinal function.",2,1,
Chana Dal Stuffed,230,8,6,"Salty, Astringent","Chana Dal, Banana, Milk, Honey, Cardamom Powder",Total: 20 mins,"Mash banana with warm milk, honey, and cardamom, fold into lightly mashed chana dal, stuff small portions, and chill to set.","Chana dal stuffed delivers beta-carotene and lutein, promoting macular health.",3,1,
Chana Dal Rolls,210,0,2,"Salty, Astringent","Chana Dal, Milk, Honey, Almonds, Cardamom Powder",Total: 20 mins,"Blend warm milk, honey, almonds, and cardamom, bind chana dal into tight logs, brush with the glaze, and chill before slicing.","Chana dal rolls provide lutein and vitamin A, supporting retinal function.",5,1,
Chana Dal Balls,220,10,4,"Salty, Astringent","Chana Dal, Coconut, Green Chili, Ginger, Curry Leaves, Mustard Seeds, Salt",Total: 20 mins,"Temper mustard seeds and curry leaves in a pan, mix with chana dal, coconut, green chili, ginger, and salt, and shape firm balls.","Chana dal balls deliver beta-carotene and lutein, promoting eye health.",4,1,
Chana Dal Crisps,230,10,6,"Salty, Astringent","Chana Dal, Curry Leaves, Mustard Seeds, Red Chili, Coconut Oil, Salt",Total: 25 mins,"Heat coconut oil, splutter mustard seeds with curry leaves and red chili, toss in chana dal and salt, and roast until crisp.","Chana dal crisps provide lutein and vitamin A, supporting retinal function.",2,1,
Chana Dal Chips,200,18,12,"Salty, Astringent","Chana Dal, Potato, Onion, Green Chili, Garam Masala, Bread Crumbs, Sunflower Oil, Salt",Total: 20 mins,"Mix cooked chana dal with minced potato, onion, green chili, garam masala, bread crumbs, and salt, press into thin discs, and fry as chips.","Chana dal chips deliver beta-carotene and lutein, promoting eye health.",3,1,
Chana Dal Raita with Greens,210,8,15,"Salty, Astringent","Chana Dal, Yogurt, Green Chili, Curry Leaves, Mustard Seeds, Cumin Seeds, Salt",Total: 25 mins,"Whisk yogurt with salt, temper mustard and cumin with curry leaves and green chili in a spoon of oil, and fold into chana dal for raita.","Chana dal raita with greens provides lutein and vitamin A, supporting macular health.",2,1,
Masoor Dal Curry,220,10,18,"Salty, Astringent","Masoor Dal, Tomato, Onion, Garlic, Ginger, Green Chili, Cumin Seeds, Coriander Powder, Mustard Oil, Salt",Total: 20 mins,"Quick 20?min Masoor Dal Curry: rinse ¾ cup masoor dal and boil with 2½ cups water for 10?12 minutes until just tender while prepping the base; heat 1½ tbsp mustard oil until it smokes lightly, reduce heat, crackle 1 tsp cumin seeds, sauté 1 small chopped onion 2?3 minutes, then add 3 minced garlic cloves, 1 inch minced ginger, and 1 slit green chili for 45?60 seconds; add 1 chopped tomato, 1½ tsp coriander powder, and ½ tsp salt, cook 2?3 minutes until pulpy; pour in the cooked dal with its liquid, simmer 3?4 minutes to meld, adjust salt and thin with hot water if needed; finish with a squeeze of lemon and coriander leaves, rest 1 minute, and serve hot with rice or roti.","Masoor dal curry provides beta-carotene and lutein, promoting retinal function.",2,2,
Masoor Dal Fry,230,18,20,"Salty, Astringent","Masoor Dal, Onion, Green Chili, Garlic, Curry Leaves, Red Chili Powder, Sunflower Oil, Salt",Total: 20 mins,"Heat mustard oil, sauté tomato, onion, garlic, ginger, and green chili with cumin and coriander powder, add cooked masoor dal, salt, and simmer.","Masoor dal fry delivers lutein and vitamin A, supporting eye health.",3,2,
Masoor Dal Masala,220,8,12,"Salty, Astringent","Masoor Dal, Onion, Tomato, Green Chili, Ginger, Coriander Powder, Turmeric Powder, Sunflower Oil, Salt",Total: 25 mins,"Heat sunflower oil, fry curry leaves, garlic, onion, green chili, and red chili powder, add boiled masoor dal with salt, and fry until glossy.","Masoor dal masala provides beta-carotene and lutein, promoting macular health.",4,2,
Masoor Dal Stew,230,6,6,"Salty, Astringent","Masoor Dal, Carrot, Beans, Tomato, Green Chili, Coriander, Mustard Oil, Salt",Total: 25 mins,"Sauté onion, tomato, green chili, and ginger in oil, add coriander powder and turmeric, stir in masoor dal with salt, and reduce to a thick masala.","Masoor dal stew delivers lutein and vitamin A, supporting retinal function.",5,2,
Masoor Dal Soup,220,25,4,"Salty, Astringent","Masoor Dal, Tomato, Onion, Garlic, Ginger, Black Pepper, Olive Oil, Salt",Total: 25 mins,"Simmer masoor dal with carrot, beans, tomato, green chili, coriander, mustard oil, and salt until vegetables are tender.","Masoor dal soup provides beta-carotene and lutein, promoting eye health.",6,2,
Masoor Dal Rasam,230,24,10,"Salty, Astringent","Masoor Dal, Tamarind, Tomato, Curry Leaves, Green Chili, Mustard Seeds, Salt",Total: 25 mins,"Sweat onion, tomato, garlic, and ginger in olive oil, add masoor dal, water, black pepper, and salt, simmer 8?10 minutes, and blend smooth.","Masoor dal rasam delivers lutein and vitamin A, supporting macular function.",4,2,
Masoor Dal Raita,210,25,2,"Salty, Astringent","Masoor Dal, Yogurt, Cucumber, Green Chili, Coriander Leaves, Salt",Total: 25 mins,"Boil thin tamarind water with tomato and salt, temper mustard seeds and curry leaves, add mashed masoor dal and green chili, and simmer briefly.","Masoor dal raita provides beta-carotene and lutein, promoting eye health.",7,2,
Masoor Dal Poriyal,220,20,6,"Salty, Astringent","Masoor Dal, Carrot, Beans, Green Chili, Curry Leaves, Mustard Seeds, Olive Oil, Salt",Total: 25 mins,"Whisk yogurt with salt, fold in cooled masoor dal, cucumber, green chili, and coriander leaves, and chill.","Masoor dal poriyal delivers lutein and vitamin A, supporting retinal function.",5,3,
Masoor Dal Thoran,230,18,8,"Salty, Astringent","Masoor Dal, Carrot, Beans, Green Chili, Coconut, Curry Leaves, Mustard Seeds, Coconut Oil, Salt",Total: 25 mins,"Splutter mustard seeds in olive oil with curry leaves, add carrot, beans, green chili, and masoor dal with salt, and stir?fry dry.","Masoor dal thoran provides beta-carotene and lutein, promoting eye health.",6,3,
Masoor Dal Thoran with Coconut,200,22,12,"Salty, Astringent","Masoor Dal, Carrot, Beans, Green Chili, Coconut, Curry Leaves, Mustard Seeds, Coconut Oil, Salt",Total: 25 mins,"Heat coconut oil, crackle mustard seeds and curry leaves, add carrot, beans, green chili, grated coconut, masoor dal, and salt, and toss 1?2 minutes.","Masoor dal thoran with coconut delivers lutein and vitamin A, supporting macular function.",7,3,
Masoor Dal Pickle,190,6,10,"Salty, Astringent","Masoor Dal, Red Chili Powder, Mustard Seeds, Salt, Lemon Juice, Sunflower Oil",Total: 25 mins,"Repeat with extra coconut and a quick toss for a richer thoran, adjusting salt at the end.","Masoor dal pickle provides beta-carotene and lutein, promoting eye health.",8,3,
Masoor Dal Biryani,210,23,8,"Salty, Astringent","Masoor Dal, Rice, Onion, Tomato, Garlic, Ginger, Green Chili, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala, Ghee, Salt",Total: 15 mins,"Warm sunflower oil, crackle mustard, stir in red chili powder, lemon juice, and salt, toss fried masoor dal, cool, and bottle.","Masoor dal biryani delivers lutein and vitamin A, supporting retinal function.",9,3,
Masoor Dal Pulao,220,20,2,"Salty, Astringent","Masoor Dal, Rice, Onion, Tomato, Garlic, Green Chili, Coriander Leaves, Olive Oil, Salt",Total: 15 mins,"Fry whole spices in ghee with onion, tomato, garlic, ginger, and green chili, add rice, masoor dal, spices, salt, water, and dum?steam.","Masoor dal pulao provides beta-carotene and lutein, promoting eye health.",5,3,
Masoor Dal Khichdi,240,18,3,"Salty, Astringent","Masoor Dal, Rice, Moong Dal, Carrot, Beans, Green Chili, Cumin Seeds, Olive Oil, Salt",Total: 15 mins,"Sauté onion, tomato, garlic, and green chili in olive oil, add rinsed rice, masoor dal, salt, water, and cook fluffy.","Masoor dal khichdi delivers lutein and vitamin A, supporting macular function.",7,3,
Masoor Dal Upma,230,20,5,"Salty, Astringent","Masoor Dal, Semolina, Onion, Green Chili, Mustard Seeds, Curry Leaves, Ghee, Salt",Total: 20 mins,"Simmer rice, moong dal, masoor dal, carrot, beans, green chili, cumin, and salt in olive oil until soft and porridge","Masoor dal upma provides beta-carotene and lutein, promoting eye health.",6,2,
Masoor Dal Dosa,220,12,3,"Salty, Astringent","Masoor Dal, Rice, Urad Dal, Green Chili, Curry Leaves, Salt, Ghee",Total: 25 mins,"Roast semolina in ghee, temper mustard seeds and curry leaves with onion and green chili, add hot water, salt, and cooked masoor dal, and steam to fluffy upma.","Masoor dal dosa delivers lutein and vitamin A, supporting retinal function.",8,2,
Masoor Dal Idli,210,20,8,"Salty, Astringent","Masoor Dal, Urad Dal, Rice, Green Chili, Curry Leaves, Salt, Ghee",Total: 25 mins,"Soak masoor, rice, and urad, grind and ferment with salt, spread on a ghee?hot tawa, and cook dosas both sides.","Masoor dal idli provides beta-carotene and lutein, promoting eye health.",7,2,
Masoor Dal Paratha,220,18,6,"Salty, Spicy","Masoor Dal, Wheat Flour, Onion, Green Chili, Coriander Leaves, Cumin Seeds, Mustard Oil, Salt",Total: 25 mins,"Soak masoor, urad, and rice, grind and ferment with salt, steam idlis, and brush with ghee.","Masoor dal paratha delivers lutein and vitamin A, supporting macular function.",8,1,
Masoor Dal Pakora,210,18,5,"Salty, Spicy","Masoor Dal, Gram Flour, Onion, Green Chili, Coriander Leaves, Red Chili Powder, Sunflower Oil, Salt",Total: 30 mins,"Sauté onion and green chili in mustard oil with cumin, mix with cooked masoor dal, coriander leaves, and salt, stuff into dough, roll, and cook parathas.","Masoor dal pakora provides beta-carotene and lutein, promoting eye health.",9,1,
Masoor Dal Cutlet,230,2,12,"Salty, Spicy","Masoor Dal, Potato, Onion, Green Chili, Bread Crumbs, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala, Sunflower Oil, Salt",Total: 20 mins,"Make a gram?flour batter with onion, green chili, coriander, red chili powder, salt, fold in masoor dal, and fry pakoras.","Masoor dal cutlet delivers lutein and vitamin A, supporting retinal function.",10,1,
Masoor Dal Tikki,25,4,20,"Salty, Spicy","Masoor Dal, Boiled Potato, Onion, Green Chili, Coriander Leaves, Bread Crumbs, Olive Oil, Salt",Total: 20 mins,"Bind masoor dal with potato, onion, green chili, crumbs, spice powders, and salt, shape cutlets, and fry.","Masoor dal tikki provides lutein and beta-carotene, supporting macular health.",6,7,
Masoor Dal Kebab,120,6,25,"Salty, Spicy","Masoor Dal, Paneer, Onion, Garlic, Green Chili, Coriander Powder, Mustard Oil, Salt",Total: 25 mins,"Mix masoor dal with boiled potato, onion, green chili, coriander leaves, crumbs, and salt, and pan?sear small tikkis.","Masoor dal kebab delivers lutein and vitamin A, promoting retinal function.",7,7,
,,,,,,,,,,,
Masoor Dal Grilled,128,8,6,"Salty, Spicy","Masoor Dal, Lemon Juice, Black Pepper, Olive Oil, Salt",Total: 25 mins,"Marinate clumped masoor dal in yogurt, ginger?garlic, red chili powder, garam masala, mustard oil, and salt, then roast hot.","Masoor dal grilled delivers lutein and vitamin A, promoting macular health.",9,7,
Masoor Dal Baked,250,12,5,"Salty, Spicy","Masoor Dal, Carrot, Beans, Olive Oil, Salt",Total: 25 mins,"Toss masoor dal with lemon juice, olive oil, salt, and black pepper, spread on a hot tray, and grill until edges crisp.","Masoor dal baked provides beta-carotene and lutein, supporting retinal function.",7,1,
Masoor Dal Roast,70,8,3,"Salty, Spicy","Masoor Dal, Carrot, Beans, Cumin Seeds, Coriander Powder, Olive Oil, Salt",Total: 25 mins,"Boil masoor until just tender; heat olive oil, crackle cumin, sauté carrot and beans to crisp?tender; add dal, coriander powder, salt, and roast to coat.","Masoor dal roast delivers lutein and vitamin A, promoting eye health.",6,1,
Masoor Dal Stuffed Paratha,85,6,8,"Salty, Spicy","Masoor Dal, Wheat Flour, Onion, Green Chili, Coriander Leaves, Cumin Seeds, Mustard Oil, Salt",Total: 25 mins,"Cook and mash masoor; mix with onion, green chili, coriander leaves, cumin seeds, salt; stuff into wheat dough and cook with a brush of mustard oil.","Masoor dal stuffed paratha provides beta-carotene and lutein, supporting macular health.",8,1,
Masoor Dal Sandwich,109,8,12,"Salty, Astringent","Masoor Dal, Wheat Bread, Tomato, Cucumber, Lettuce, Olive Oil, Salt",Total: 25 mins,"Toss cooked masoor with olive oil and salt; layer with tomato, cucumber, and lettuce in bread; press and toast lightly.","Masoor dal sandwich delivers lutein and vitamin A, promoting retinal function.",7,1,
Masoor Dal Salad,150,6,15,"Salty, Astringent","Masoor Dal, Lettuce, Tomato, Cucumber, Carrot, Olive Oil, Salt",Total: 10 mins,"Combine masoor, lettuce, tomato, cucumber, carrot; drizzle olive oil and salt; toss and chill.","Masoor dal salad provides beta-carotene and lutein, supporting eye health.",6,1,
Masoor Dal Smoothie,200,6,2,"Sweet, Astringent","Masoor Dal, Milk, Yogurt, Honey, Cinnamon, Cardamom",Total: 10 mins,"Blend cooked cooled masoor with milk, yogurt, honey, cinnamon, and cardamom until silky.","Masoor dal smoothie delivers lutein and vitamin A, promoting retinal function.",5,1,
Masoor Dal Milkshake,50,6,2,"Sweet, Astringent","Masoor Dal, Milk, Honey, Cardamom, Cinnamon",Total: 10 mins,"Blend masoor with cold milk, honey, cardamom, and a pinch of cinnamon until frothy.","Masoor dal milkshake provides beta-carotene and lutein, supporting eye health.",4,1,
Masoor Dal Chutney,100,6,2,"Salty, Spicy","Masoor Dal, Green Chili, Garlic, Tamarind, Salt",Total: 10 mins,"Roast dal lightly; grind with green chili, garlic, tamarind, and salt to a coarse paste.","Masoor dal chutney delivers lutein and vitamin A, promoting macular health.",6,1,
Masoor Dal Sundal,150,8,3,"Salty, Astringent","Masoor Dal, Coconut, Green Chili, Curry Leaves, Mustard Seeds, Salt",Total: 10 mins,Splutter mustard seeds and curry leaves in oil; add green chili; toss in cooked masoor with salt and grated coconut; warm 1 minute.,"Masoor dal sundal provides beta-carotene and lutein, supporting retinal function.",5,3,
Masoor Dal Kofta,40,6,4,"Salty, Astringent","Masoor Dal, Paneer, Onion, Green Chili, Garam Masala, Olive Oil, Salt",Total: 10 mins,"Bind cooked masoor with crumbled paneer, onion, green chili, garam masala, salt; shape and pan?sear in olive oil.","Masoor dal kofta delivers lutein and vitamin A, promoting eye health.",7,4,
Masoor Dal Kadhi,120,12,3,"Salty, Astringent","Masoor Dal, Yogurt, Gram Flour, Green Chili, Turmeric, Salt",Total: 5?10 mins,"Whisk yogurt, gram flour, turmeric, salt; simmer gently; add cooked masoor and slit green chili; cook 2 minutes.","Masoor dal kadhi provides beta-carotene and lutein, supporting retinal function.",6,2,
Masoor Dal Pongal,180,18,8,"Salty, Astringent","Masoor Dal, Rice, Moong Dal, Black Pepper, Cumin Seeds, Ghee, Salt",Total: 5?10 mins,"Pressure?cook masoor, rice, moong dal with cumin, black pepper, ghee, salt to soft; rest and mash lightly.","Masoor dal pongal delivers lutein and vitamin A, promoting macular health.",5,1,
Masoor Dal Uttapam,100,8,10,"Salty, Astringent","Masoor Dal, Rice, Urad Dal, Green Chili, Salt, Ghee",Total: 5?10 mins,"Soak masoor, rice, urad; grind, ferment with salt; ladle thick on a ghee?hot tawa, top with fine green chili, cook both sides.","Masoor dal uttapam provides beta-carotene and lutein, supporting retinal function.",6,1,
Masoor Dal Handvo,150,6,15,"Salty, Astringent","Masoor Dal, Wheat Flour, Yogurt, Green Chili, Carrot, Salt",Total: 5?10 mins,"Mix mashed masoor with wheat flour, yogurt, green chili, grated carrot, salt; rest; pan?bake until set and golden.","Masoor dal handvo delivers lutein and vitamin A, promoting eye health.",7,1,
Masoor Dal Dhokla,200,4,12,"Salty, Astringent","Masoor Dal, Gram Flour, Yogurt, Baking Soda, Green Chili, Salt",Total: 5?10 mins,"Whisk gram flour, yogurt, baking soda, salt; fold in cooked masoor and green chili; steam until spongy.","Masoor dal dhokla provides beta-carotene and lutein, supporting retinal function.",5,1,
Masoor Dal Usili,180,6,8,"Salty, Astringent","Masoor Dal, Moong Dal, Green Chili, Curry Leaves, Mustard Seeds, Salt",Total: 5?10 mins,"Pulse?soak masoor and moong coarse; steam to crumble; temper mustard seeds, curry leaves, green chili; toss with salt.","Masoor dal usili delivers lutein and vitamin A, promoting eye health.",6,2,
Masoor Dal Adai,150,6,6,"Salty, Astringent","Masoor Dal, Rice, Green Chili, Ginger, Curry Leaves, Salt",Total: 25 mins,"Soak masoor and rice; grind with ginger, green chili, curry leaves, salt; cook medium thick pancakes on a hot tawa.","Masoor dal adai provides beta-carotene and lutein, supporting retinal function.",4,2,
Masoor Dal Puttu,120,6,2,"Salty, Astringent","Masoor Dal, Rice Flour, Coconut, Salt, Water",Total: 25 mins,Moisten rice flour with salted water to sandy; layer with masoor and coconut; steam till fluffy.,"Masoor dal puttu delivers lutein and vitamin A, promoting eye health.",5,1,
Masoor Dal Pesarattu,180,6,2,"Salty, Astringent","Masoor Dal, Rice, Green Chili, Ginger, Salt, Olive Oil",Total: 25 mins,"Soak masoor and rice; grind with ginger, green chili, salt; spread thin on a hot oiled tawa; cook both sides.","Masoor dal pesarattu provides beta-carotene and lutein, supporting retinal function.",6,1,
Masoor Dal Pulao with Greens,150,6,3,"Salty, Astringent","Masoor Dal, Rice, Spinach, Peas, Carrot, Olive Oil, Salt",Total: 25 mins,"Sauté spinach, peas, carrot in olive oil; add rinsed rice, cooked masoor, salt, water; cook fluffy and rest.","Masoor dal pulao with greens delivers lutein and vitamin A, promoting eye health.",7,1,
Masoor Dal Steamed,200,6,1,"Salty, Astringent","Masoor Dal, Salt",Total: 20 mins,Steam soaked masoor until just tender; sprinkle salt and serve.,"Masoor dal steamed provides beta-carotene and lutein, supporting retinal function.",6,1,
Masoor Dal Pan-fried,250,8,4,"Salty, Astringent","Masoor Dal, Olive Oil, Salt",Total: 25 mins,Sauté cooked masoor in olive oil with salt until lightly crisp at edges.,"Masoor dal pan-fried delivers lutein and vitamin A, promoting eye health.",7,1,
Masoor Dal Stir Fry,60,12,6,"Salty, Astringent","Masoor Dal, Onion, Capsicum, Carrot, Green Chili, Olive Oil, Salt",Total: 25 mins,"Stir?fry onion, capsicum, carrot, green chili in olive oil; toss in masoor and salt 1?2 minutes.","Masoor dal stir fry provides beta-carotene and lutein, supporting retinal function.",8,1,
Masoor Dal Smoked,90,8,2,"Salty, Astringent","Masoor Dal, Paprika, Olive Oil, Salt",Total: 25 mins,"Toss cooked masoor with olive oil, salt, paprika; smoke or roast briefly until aromatic.","Masoor dal smoked delivers lutein and vitamin A, promoting eye health.",6,1,
Masoor Dal Marinated,100,8,6,"Salty, Astringent","Masoor Dal, Yogurt, Lemon Juice, Olive Oil, Salt",Total: 25 mins,"Fold cooled masoor with yogurt, lemon juice, olive oil, salt; chill 15 minutes.","Masoor dal marinated provides beta-carotene and lutein, supporting retinal function.",5,1,
Masoor Dal Stuffed,80,2,8,"Salty, Astringent","Masoor Dal, Wheat Flour, Carrot, Spinach, Olive Oil, Salt",Total: 20 mins,"Stuff wheat dough with masoor, grated carrot, chopped spinach, salt; roll and tawa?cook with olive oil.","Masoor dal stuffed delivers lutein and vitamin A, promoting eye health.",4,1,
Masoor Dal Rolls,70,6,4,"Salty, Astringent","Masoor Dal, Wheat Bread, Paneer, Carrot, Lettuce, Olive Oil, Salt",Total: 25 mins,"Fill bread with masoor, paneer, carrot, lettuce; brush olive oil and press?toast.","Masoor dal rolls provide beta-carotene and lutein, supporting retinal function.",3,1,
Masoor Dal Balls,150,6,2,"Salty, Astringent","Masoor Dal, Boiled Potato, Wheat Bread, Olive Oil, Salt",Total: 20 mins,Bind masoor with mashed potato and a little moistened bread; form balls and pan?sear in olive oil.,"Masoor dal balls deliver lutein and vitamin A, promoting eye health.",5,1,
Masoor Dal Crisps,200,2,12,"Salty, Astringent","Masoor Dal, Olive Oil, Salt",Total: 25 mins,"Spread par?boiled, dried masoor thin on a tray; mist olive oil, salt; bake low till crisp.","Masoor dal crisps provide beta-carotene and lutein, supporting retinal function.",6,1,
Masoor Dal Chips,180,6,18,"Salty, Astringent","Masoor Dal, Olive Oil, Salt",Total: 25 mins,"Toss cooked, well?dried masoor with olive oil and salt; air?fry or oven?dry to chips.","Masoor dal chips deliver lutein and vitamin A, promoting eye health.",7,2,
Masoor Dal Raita with Greens,150,6,20,"Salty, Astringent","Masoor Dal, Yogurt, Cucumber, Coriander, Salt",Total: 25 mins,"Whisk yogurt and salt; fold in cooled masoor, diced cucumber, chopped coriander; chill.","Masoor dal raita with greens provides beta-carotene and lutein, supporting retinal function.",6,2,
Horse Gram Fry,160,2,8,"Salty, Astringent","Horse Gram, Onion, Tomato, Green Chili, Mustard Oil, Salt",Total: 25 mins,"Pressure?cook horse gram; sauté onion, tomato, green chili in mustard oil; add gram and salt; fry until glossy.","Horse gram fry provides lutein and vitamin A, supporting eye health.",5,2,
Horse Gram Masala,80,2,10,"Salty, Astringent","Horse Gram, Onion, Tomato, Garlic, Coriander Powder, Mustard Oil, Salt",Total: 20 mins,"Sauté onion, tomato, garlic in mustard oil; add coriander powder, salt; stir in cooked horse gram; simmer to coat.","Horse gram masala delivers beta-carotene and lutein, promoting retinal function.",4,2,
Horse Gram Stew,150,6,15,"Salty, Astringent","Horse Gram, Onion, Carrot, Tomato, Green Chili, Mustard Oil, Salt",Total: 25 mins,"Simmer horse gram with onion, carrot, tomato, green chili, mustard oil, salt, and water until vegetables soften.","Horse gram stew provides lutein and vitamin A, supporting eye health.",3,2,
Horse Gram Soup,180,4,18,"Salty, Astringent","Horse Gram, Tamarind, Garlic, Green Chili, Curry Leaves, Mustard Oil, Salt",Total: 25 mins,"Boil tamarind water with garlic, green chili, curry leaves, salt; add cooked horse gram; simmer and serve hot.","Horse gram soup delivers beta-carotene and lutein, promoting retinal function.",2,2,
Horse Gram Rasam,120,6,12,"Salty, Astringent","Horse Gram, Tamarind, Tomato, Green Chili, Garlic, Curry Leaves, Mustard Oil, Salt",Total: 20 mins,"Simmer tamarind, tomato, salt; temper mustard oil with curry leaves and garlic; add mashed horse gram; boil briefly and serve.","Horse gram rasam provides lutein and vitamin A, supporting eye health.",4,2,
Horse Gram Raita,100,4,8,"Salty, Astringent","Horse Gram, Yogurt, Cucumber, Coriander, Green Chili, Salt",Total: 20 mins,"Whisk yogurt with salt, fold in cooled cooked horse gram, fine?diced cucumber, chopped coriander, and minced green chili; chill 10 minutes.","Horse gram raita provides lutein and vitamin A, supporting macular health.",5,1,
Horse Gram Poriyal,50,6,5,"Salty, Astringent","Horse Gram, Onion, Carrot, Beans, Green Chili, Mustard Oil, Salt",Total: 20 mins,"Sauté onion, carrot, beans, and slit green chili in hot mustard oil; add cooked horse gram and salt; stir?fry until glossy.","Horse gram poriyal delivers beta-carotene and lutein, promoting retinal health.",6,1,
Horse Gram Thoran,60,4,3,"Salty, Astringent","Horse Gram, Cabbage, Carrot, Green Chili, Mustard Oil, Salt",Total: 25 mins,"Sauté shredded cabbage, julienned carrot, and green chili in mustard oil; fold in cooked horse gram and salt; toss 1 minute.","Horse gram thoran provides vitamin A and lutein, supporting eye function.",7,1,
Horse Gram Thoran with Coconut,100,3,2,"Salty, Astringent","Horse Gram, Cabbage, Carrot, Grated Coconut, Green Chili, Mustard Oil, Salt",Total: 25 mins,"Splutter green chili in hot mustard oil; add grated coconut, salt, shredded cabbage and carrot, then cooked horse gram; toss briefly.","Horse gram thoran with coconut provides lutein, beta-carotene, and healthy fats for eye health.",6,1,
Horse Gram Pickle,120,4,2,"Salty, Astringent","Horse Gram, Red Chili Powder, Salt, Mustard Seeds, Vinegar, Garlic, Ginger",Total: 20 mins,"Warm vinegar with salt; bloom mustard seeds, red chili powder, crushed garlic, and ginger; fold in cooked horse gram; cool and jar.","Horse gram pickle delivers beta-carotene and lutein, promoting macular function.",5,1,
Horse Gram Biryani,150,3,4,"Salty, Astringent","Horse Gram, Rice, Onion, Tomato, Green Chili, Ginger, Mustard Oil, Salt, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala",Total: 20 mins,"Fry onion, tomato, green chili, and ginger in mustard oil with the listed spice powders and salt; add parboiled rice and cooked horse gram; dum until fluffy.","Horse gram biryani provides lutein, vitamin A, and antioxidants for eye health.",4,1,
Horse Gram Pulao,250,4,6,"Salty, Astringent","Horse Gram, Rice, Carrot, Green Peas, Green Chili, Ginger, Mustard Oil, Salt",Total: 20 mins,"Sauté carrot, peas, ginger, and green chili in mustard oil; add rinsed rice, salt, water, then cooked horse gram; cook to pulao.","Horse gram pulao delivers beta-carotene and lutein, supporting retinal health.",3,1,
Horse Gram Khichdi,200,2,8,"Salty, Astringent","Horse Gram, Rice, Moong Dal, Turmeric, Salt",Total: 25 mins,Simmer rice and moong dal with turmeric and salt to soft; fold in cooked horse gram and rest 2 minutes.,"Horse gram khichdi provides lutein and vitamin A, promoting macular health.",5,2,
Horse Gram Upma,180,3,12,"Salty, Astringent","Horse Gram, Semolina, Green Chili, Ginger, Curry Leaves, Mustard Oil, Salt",Total: 25 mins,"Roast semolina in mustard oil; add curry leaves, green chili, ginger, hot water, salt, and cooked horse gram; stir to fluffy upma.","Horse gram upma delivers beta-carotene and lutein, supporting retinal function.",6,2,
Horse Gram Dosa,160,2,10,"Salty, Astringent","Horse Gram, Urad Dal, Rice, Green Chili, Ginger, Salt, Olive Oil",Total: 25 mins,"Soak horse gram, urad, and rice; grind with green chili, ginger, and salt; spread thin on a hot oiled tawa and cook both sides.","Horse gram dosa provides lutein and vitamin A, supporting eye health.",4,2,
Horse Gram Idli,200,3,6,"Salty, Astringent","Horse Gram, Urad Dal, Rice, Fenugreek Seeds, Salt",Total: 25 mins,"Soak horse gram, urad, rice, and fenugreek; grind and ferment with salt; steam in greased molds until set.","Horse gram idli delivers beta-carotene and lutein, promoting macular health.",5,2,
Horse Gram Paratha,150,2,4,"Salty, Astringent","Horse Gram, Wheat Flour, Green Chili, Ginger, Salt, Olive Oil",Total: 25 mins,"Knead wheat flour with salt and oil; stuff with spiced cooked horse gram, green chili, ginger; roll and pan?cook.","Horse gram paratha provides lutein and vitamin A, supporting retinal function.",4,1,
