Food Name,Calories,Protein_g,Carbohydrates_g,taste,prep_time,Instructions,Description,Fat,Ingredients,No_serving
Pumpkin Seed And Barley Upma (pulao-Style),140,4,22,Spicy,Total in 25 M,"Roast Pumpkin Seeds and Barley. Heat Ghee, add Cumin Seeds and Coriander Leaves. Mix seeds and barley, cook as upma-style dish. Serve warm.","Fiber and protein-rich, promotes heart health.",7,"Pumpkin Seeds, Barley, Ghee, Cumin Seeds, Coriander Leaves",2
Pumpkin Seed And Barley Wrap (mustard-Toss),140,4,26,Spicy,Total in 25 M,"Roast Pumpkin Seeds and Barley. Heat Olive Oil, add Mustard Seeds and Curry Leaves. Mix seeds and barley, wrap in flatbread. Serve warm.",Supports heart health and cholesterol reduction.,7,"Pumpkin Seeds, Barley, Olive Oil, Mustard Seeds, Curry Leaves",2
Pumpkin Seed And Barley Wrap (pulao-Style),140,4,25,Spicy,Total in 25 M,"Roast Pumpkin Seeds and Barley. Heat Ghee, add Cumin Seeds and Coriander Leaves. Mix seeds and barley, serve as wrap filling.","Fiber-rich, high protein, supports cholesterol management.",7,"Pumpkin Seeds, Barley, Ghee, Cumin Seeds, Coriander Leaves",2
Pumpkin Seed And Barley Wrap (turmeric-Ginger),140,4.5,24,Spicy,Total in 25 M,"Roast Pumpkin Seeds and Barley. Heat Olive Oil, add Turmeric and Ginger. Mix seeds and barley, wrap in flatbread. Serve warm.","Anti-inflammatory, supports cholesterol reduction.",7,"Pumpkin Seeds, Barley, Olive Oil, Turmeric, Ginger",2
Pumpkin Seed And Buckwheat Bowls (cumin-Roasted),140,4.5,23,Spicy,Total in 25 M,"Roast Pumpkin Seeds and Buckwheat. Heat Ghee, add Cumin Seeds and Coriander Leaves. Mix seeds and buckwheat, serve as bowl.","High in fiber and protein, aids heart health.",7,"Pumpkin Seeds, Buckwheat, Ghee, Cumin Seeds, Coriander Leaves",3–4
Pumpkin Seed And Buckwheat Bowls (peppery),120,4.5,22,Spicy,25 M,"Roast Pumpkin Seeds and Buckwheat. Heat Olive Oil, add Black Pepper and Cumin Seeds. Mix seeds and buckwheat, serve as a bowl.","Fiber-rich, protein-packed, supports heart health and cholesterol reduction.",7,"Pumpkin Seeds, Buckwheat, Olive Oil, Black Pepper, Cumin Seeds",2
Pumpkin Seed And Buckwheat Cutlets (mustard-Toss),120,4.5,21,Spicy,25 M,"Roast Pumpkin Seeds and Buckwheat. Heat Olive Oil, add Mustard Seeds and Curry Leaves. Mix seeds and buckwheat, shape into cutlets, pan-fry until golden.","Protein-rich, fiber-rich, supports cholesterol control.",7,"Pumpkin Seeds, Buckwheat, Olive Oil, Mustard Seeds, Curry Leaves",2
Pumpkin Seed And Buckwheat Pulao (sprouted),120,4.5,21,"Astringent, Spicy",25 M,"Steam sprouted Buckwheat with Pumpkin Seeds. Mix with sautéed spices (Cumin Seeds, Ginger). Serve as pulao.","High protein, fiber-rich, aids heart health.",7,"Pumpkin Seeds, Sprouted Buckwheat, Cumin Seeds, Ginger, Olive Oil",2
Pumpkin Seed And Buckwheat Salad (peppery),120,4.5,20,Spicy,25 M,"Roast Pumpkin Seeds and Buckwheat. Heat Olive Oil, add Black Pepper and Cumin Seeds. Mix with chopped vegetables for salad. Serve warm or chilled.","High fiber and protein, helps reduce cholesterol.",7,"Pumpkin Seeds, Buckwheat, Olive Oil, Black Pepper, Cumin Seeds, Vegetables",3
Pumpkin Seed And Buckwheat Soup (seed-Mix),120,4.5,20,Spicy,25 M,"Roast Pumpkin Seeds and Buckwheat. Heat Olive Oil, add Mustard Seeds and Cumin Seeds. Mix with cooked Buckwheat to make soup. Serve warm.","Supports heart health, protein and fiber-rich.",7,"Pumpkin Seeds, Buckwheat, Olive Oil, Mustard Seeds, Cumin Seeds",3
Pumpkin Seed And Bulgur Bowls (sprouted),120,4.5,21,Astringent,25 M,"Steam Bulgur and Pumpkin Seeds. Mix with sautéed spices (Cumin Seeds, Black Pepper) and serve as a bowl.","Protein-rich, fiber-rich, supports cholesterol management.",7,"Pumpkin Seeds, Bulgur, Olive Oil, Cumin Seeds, Black Pepper",2
Pumpkin Seed And Bulgur Khichdi (seed-Mix),120,4.5,22,Astringent,25 M,Cook Bulgur with Pumpkin Seeds. Mix with sautéed Cumin Seeds and Sesame Seeds to make khichdi. Serve warm.,"Fiber and protein-rich, helps reduce LDL cholesterol.",7,"Pumpkin Seeds, Bulgur, Cumin Seeds, Sesame Seeds, Olive Oil",3
Pumpkin Seed And Bulgur Pancake (coriander-Mint),120,4.5,22,Spicy,25 M,"Roast Pumpkin Seeds and Bulgur. Heat Ghee, add Cumin Seeds and Coriander Leaves. Mix, cook as pancake. Serve warm.","High protein, fiber-rich, supports heart health.",7,"Pumpkin Seeds, Bulgur, Ghee, Cumin Seeds, Coriander Leaves",2
Pumpkin Seed And Bulgur Patties (herbed),120,4.5,23,Spicy,25 M,"Roast Pumpkin Seeds and Bulgur. Heat Ghee, add Cumin Seeds and Coriander Leaves. Mix, shape into patties, pan-fry until golden.","Protein-rich, fiber-rich, supports cholesterol control.",7,"Pumpkin Seeds, Bulgur, Ghee, Cumin Seeds, Coriander Leaves",1
Pumpkin Seed And Bulgur Porridge (ginger-Garlic),120,4.5,25,Spicy,25 M,"Cook Bulgur and Pumpkin Seeds. Heat Ghee, add Ginger and Garlic. Mix and cook as porridge. Serve warm.","Anti-inflammatory, protein-rich, supports heart health.",7,"Pumpkin Seeds, Bulgur, Ghee, Ginger, Garlic",1
Pumpkin Seed And Farro Bowl (fenugreek-Seasoned),120,4.5,26,Astringent,25 M,"Roast Pumpkin Seeds and Farro. Heat Olive Oil, add Fenugreek Leaves and Cumin Seeds. Mix and serve as bowl.","Protein-rich, fiber-rich, supports heart health.",7,"Pumpkin Seeds, Farro, Olive Oil, Fenugreek Leaves, Cumin Seeds",1
Pumpkin Seed And Farro Cutlets (ginger-Garlic),120,4.5,24,Spicy,25 M,"Roast Pumpkin Seeds and Farro. Heat Olive Oil, add Ginger and Garlic. Mix seeds and Farro, shape into cutlets, cook until golden.","High protein, fiber-rich, supports cholesterol management.",7,"Pumpkin Seeds, Farro, Olive Oil, Ginger, Garlic",1
Pumpkin Seed And Farro Kebab (baked) (curry-Leaf),120,4.5,25,Spicy,25 M,"Roast Pumpkin Seeds and Farro. Heat Olive Oil, add Curry Leaves and Cumin Seeds. Mix and shape into kebabs, bake until golden.","Protein and fiber-rich, aids heart health.",7,"Pumpkin Seeds, Farro, Olive Oil, Curry Leaves, Cumin Seeds",1
Pumpkin Seed And Farro Khichdi (turmeric-Ginger),120,4.5,26,Spicy,25 M,"Cook Farro with Pumpkin Seeds. Heat Olive Oil, add Turmeric and Ginger. Mix, serve as khichdi.","High protein, fiber-rich, supports heart health.",7,"Pumpkin Seeds, Farro, Olive Oil, Turmeric, Ginger",1
Pumpkin Seed And Farro Kofta (baked) (Lemon-Dressed),120,4.5,24,"Sour, Spicy",25 M,"Roast Pumpkin Seeds and Farro. Heat Olive Oil, add Lemon and Cumin Seeds. Mix seeds and Farro, shape into kofta, bake until golden.","Supports heart health, protein-rich.",7,"Pumpkin Seeds, Farro, Olive Oil, Lemon, Cumin Seeds",1
Pumpkin Seed And Farro Patties (cumin-Roasted),120,4.5,25,"Astringent, Spicy",25 M,"Roast Pumpkin Seeds and Farro. Heat Olive Oil, add Cumin Seeds. Mix, shape into patties, pan-fry until golden.","High protein, fiber-rich, helps reduce cholesterol.",7,"Pumpkin Seeds, Farro, Olive Oil, Cumin Seeds",1
Pumpkin Seed And Farro Tikka (grilled) (ginger-Garlic),120,4.5,24,Spicy,25 M,"Roast Pumpkin Seeds and Farro. Heat Olive Oil, add Ginger and Garlic. Mix seeds and Farro, grill as tikka. Serve warm.","Protein-rich, supports heart health and cholesterol management.",7,"Pumpkin Seeds, Farro, Olive Oil, Ginger, Garlic",1
Pumpkin Seed And Farro Wrap (coriander-Mint),120,4.5,25,Spicy,25 M,"Roast Pumpkin Seeds and Farro. Heat Ghee, add Cumin Seeds and Coriander Leaves. Mix seeds and Farro, wrap in flatbread. Serve warm.","High protein, fiber-rich, supports cholesterol reduction.",7,"Pumpkin Seeds, Farro, Ghee, Cumin Seeds, Coriander Leaves",1
Pumpkin Seed And Freekeh Dosa Variant (coriander-Mint),120,4,26,Spicy,25 M,"Roast Pumpkin Seeds and Freekeh. Heat Ghee, add Cumin Seeds and Coriander Leaves. Mix and cook as dosa batter. Serve hot.","High protein, fiber-rich, supports digestion and cholesterol management.",7,"Pumpkin Seeds, Freekeh, Ghee, Cumin Seeds, Coriander Leaves",1
Pumpkin Seed And Freekeh Paniyaram (no-Salt-Added),120,4,24,Astringent,25 M,"Steam Freekeh and Pumpkin Seeds. Mix without salt, shape into paniyaram molds, cook until firm.","Low-sodium, fiber-rich, supports heart health.",7,"Pumpkin Seeds, Freekeh",1
Pumpkin Seed And Freekeh Wrap (herbed),120,4,25,Spicy,25 M,"Roast Pumpkin Seeds and Freekeh. Heat Olive Oil, add Cumin Seeds and Coriander Leaves. Mix and wrap in flatbread. Serve warm.","Protein-rich, fiber-rich, aids cholesterol reduction.",7,"Pumpkin Seeds, Freekeh, Olive Oil, Cumin Seeds, Coriander Leaves",1
Pumpkin Seed And Khorasan Wheat Dosa Variant (mustard-Toss),120,4,26,Spicy,25 M,"Roast Pumpkin Seeds and Khorasan Wheat. Heat Olive Oil, add Mustard Seeds and Curry Leaves. Mix and cook as dosa batter. Serve hot.","Supports digestion, high in protein, fiber-rich.",7,"Pumpkin Seeds, Khorasan Wheat, Olive Oil, Mustard Seeds, Curry Leaves",1
Pumpkin Seed And Khorasan Wheat Kebab (baked) (peppery),120,4,27,Peppery,25 M,"Roast Pumpkin Seeds and Khorasan Wheat. Heat Olive Oil, add Black Pepper and Cumin Seeds. Shape into kebabs, bake until golden.","High protein, fiber-rich, supports heart health.",7,"Pumpkin Seeds, Khorasan Wheat, Olive Oil, Black Pepper, Cumin Seeds",1
Pumpkin Seed And Khorasan Wheat Patties (no-Salt-Added),120,4,28,Astringent,25 M,"Roast Pumpkin Seeds and Khorasan Wheat. Mix without salt, shape into patties, pan-fry until golden.","Low-sodium, protein-rich, supports heart health.",7,"Pumpkin Seeds, Khorasan Wheat, Olive Oil",1
Pumpkin Seed And Khorasan Wheat Pulao (peppery),120,4,26,Spicy,30 M,"Roast ½ cup pumpkin seeds and 1 cup Khorasan Wheat in a dry pan for 5 minutes. In another pan, heat 1 tbsp olive oil, add ½ tsp black pepper, 1 tsp cumin seeds, and sauté for 1 minute. Mix roasted pumpkin seeds and Khorasan Wheat with the sautéed spices. Garnish with 1 tbsp chopped coriander leaves. Serve warm.","Peppery pulao rich in fiber and plant protein, helps maintain healthy cholesterol levels.",8 g,"Pumpkin Seeds, Khorasan Wheat, Olive Oil, Black Pepper, Cumin Seeds, Coriander Leaves",1
Pumpkin Seed And Khorasan Wheat Salad (coriander-Mint),120,4,27,"Bitter, Astringent",25 M,"Boil 1 cup Khorasan Wheat and ½ cup pumpkin seeds until tender. Toss with 1 tbsp sunflower oil, ½ cup fresh mint leaves, and 1 tsp Lemon. Add a pinch of salt and mix thoroughly. Serve chilled.","Refreshing salad with antioxidant-rich mint and pumpkin seeds, supports healthy lipid profile.",7,"Pumpkin Seeds, Khorasan Wheat, Mint Leaves, Lemon, Sunflower Oil, Salt",1
Pumpkin Seed And Khorasan Wheat Sandwich (fermented),120,4,28,Sour,30 M,"Cook 1 cup Khorasan Wheat and ½ cup pumpkin seeds. Mix with ¼ cup fermented yogurt, 1 tsp olive oil, and 1 chopped green chili. Serve sandwich with the mixture spread between Wheat slices.","Fermented sandwich rich in probiotics and fiber, aids digestion and heart health.",6,"Pumpkin Seeds, Khorasan Wheat, Yogurt, Olive Oil, Green Chili",1
Pumpkin Seed And Khorasan Wheat Sandwich (peppery),120,4,29,Astringent,25 M,"Boil 1 cup Khorasan Wheat and ½ cup pumpkin seeds. Sauté ½ cup chopped carrots, ½ cup spinach, and 1 tsp thyme in 1 tbsp olive oil for 3–4 minutes. Add the cooked wheat and seeds, mix well, and serve warm.","Creamy vegetable soup with pumpkin seeds, supports healthy cholesterol and gut health.",5,"Pumpkin Seeds, Khorasan Wheat, Carrot, Spinach, Thyme, Olive Oil",1
Pumpkin Seed And Khorasan Wheat Soup (herb-Crunch),120,4,27,Bitter,Total: 30 M,"Boil 1 cup Khorasan wheat with ½ cup pumpkin seeds. Sauté ½ cup carrots, ½ cup zucchini, 1 tsp thyme in 1 tbsp olive oil for 3–4 min. Mix wheat and seeds, season with ½ tsp black pepper. Serve warm.","Crunchy pumpkin seed soup with herbs, rich in fiber.",6,"Pumpkin Seeds, Khorasan Wheat, Carrot, Zucchini, Olive Oil, Thyme, Black Pepper",1
Pumpkin Seed And Khorasan Wheat Soup (herbed),120,4,28,Astringent,Total: 30 M,"Cook 1 cup Khorasan wheat and ½ cup pumpkin seeds until soft. Toss with 1 tsp parsley, 1 tbsp olive oil, and ½ tsp black pepper. Serve hot.","Light and nutritious pumpkin seed soup, high in protein and antioxidants.",7,"Pumpkin Seeds, Khorasan Wheat, Olive Oil, Parsley, Black Pepper",1
Pumpkin Seed And Millet Bowl (cumin-Roasted),120,4,29,Spicy,Total: 30 M,Roast ½ cup pumpkin seeds and 1 cup millet in a dry pan for 5 min. Sauté 1 tsp cumin seeds and 1 tsp ginger paste in 1 tbsp olive oil. Mix seeds and millet with sautéed spices. Serve warm.,"Cumin-roasted millet bowl with pumpkin seeds, flavorful and protein-rich.",8,"Pumpkin Seeds, Millet, Olive Oil, Cumin Seeds, Ginger Paste",1
Pumpkin Seed And Millet Cutlets (fermented),120,4,26,Sour,Total: 30 M,"Soak ½ cup millet and ¼ cup lentils overnight. Steam ½ cup pumpkin seeds. Mix with sautéed 1 tsp mustard seeds, 1 tsp curry leaves, 1 tbsp oil. Serve hot.","Fermented millet cutlets with pumpkin seeds, tangy and nutritious.",6,"Pumpkin Seeds, Millet, Lentils, Mustard Seeds, Curry Leaves, Olive Oil",1
Pumpkin Seed And Millet Dumpling (steamed) (pulao-Style),120,4,27,Spicy,Total: 30 M,"Steam ½ cup millet, ¼ cup pumpkin seeds. Mix with 1 tsp ginger paste, ½ tsp black pepper, 1 tbsp olive oil. Shape into dumplings and serve warm.","Steamed millet dumplings with pumpkin seeds, mildly spicy and soft.",6,"Pumpkin Seeds, Millet, Ginger Paste, Black Pepper, Olive Oil",1
Pumpkin Seed And Millet Idli Variant (mustard-Toss),120,4,28,Bitter,Total: 30 M,"Mix ½ cup Little millet, Foxtail Millet with ¼ cup pumpkin seeds. Steam in idli molds for 10 min. Serve warm with mustard-tossed seasoning.","Tangy idli variant with pumpkin seeds, rich in protein and fiber.",5,"Pumpkin Seeds,  Mustard Seeds, Olive Oil,Little millet, Foxtail Millet",2
Pumpkin Seed And Millet Kebab (baked) (ginger-Garlic),120,4,29,Spicy,Total: 30 M,"Mix ½ cup millet flour, ¼ cup pumpkin seeds, 1 tsp ginger-garlic paste, 1 tbsp olive oil. Shape into kebabs and bake at 180°C for 15 min.","Baked millet kebabs with pumpkin seeds, spicy and savory.",7,"Pumpkin Seeds, Millet Flour, Ginger-Garlic Paste, Olive Oil",3
Pumpkin Seed And Millet Tikka (grilled) (herb-Crunch),120,4,25,Bitter,Total: 30 M,Steam ½ cup millet with ¼ cup pumpkin seeds. Add 1 tsp chopped thyme and 1 tbsp olive oil. Grill for 5 min.,"Grilled millet tikka with pumpkin seeds, aromatic and crunchy.",6,"Pumpkin Seeds, Millet, Thyme, Olive Oil",1
Pumpkin Seed And Millet Upma (turmeric-Ginger),120,4,26,Spicy,Total: 30 M,"Sauté 1 cup cooked millet with ½ cup pumpkin seeds, 1 tsp turmeric, 1 tsp ginger, 1 tbsp olive oil. Cook 5 min. Serve warm.","Turmeric-ginger millet upma with pumpkin seeds, aromatic and lightly spicy.",7,"Pumpkin Seeds, Millet, Turmeric, Ginger, Olive Oil",1
Pumpkin Seed And Millet Wrap (fermented),120,4,27,Sour,Total: 30 M,"Mix ½ cup Little millet, Foxtail Millet with ¼ cup pumpkin seeds. Roll into wraps with 1 tsp Lemon. Serve.","Fermented millet wrap with pumpkin seeds, tangy and nutritious.",5,"Pumpkin Seeds,  Lemon, Olive Oil,Little millet, Foxtail Millet",1
Pumpkin Seed And Quinoa Cutlets (ginger-Garlic),120,4,28,Spicy,Total: 30 M,"Mix ½ cup quinoa flour, ¼ cup pumpkin seeds, 1 tsp ginger-garlic paste, 1 tbsp olive oil. Shape into cutlets and cook on pan 5 min each side.","Quinoa cutlets with pumpkin seeds, mildly spicy and protein-rich.",6,"Pumpkin Seeds, Quinoa Flour, Ginger-Garlic Paste, Olive Oil",1
Pumpkin Seed And Quinoa Kebab (baked) (herbed),120,4,29,Bitter,Total: 30 M,"Mix ½ cup quinoa flour, ¼ cup pumpkin seeds, 1 tsp thyme, 1 tbsp olive oil. Shape into kebabs and bake at 180°C for 15 min.","Baked quinoa kebabs with pumpkin seeds, aromatic and crunchy.",7,"Pumpkin Seeds, Quinoa Flour, Thyme, Olive Oil",1
Pumpkin Seed And Quinoa Pulao (herb-Crunch),120,4,30,Bitter,Total: 30 M,Cook ½ cup quinoa and ¼ cup pumpkin seeds. Toss with 1 tsp chopped rosemary and 1 tbsp olive oil. Serve warm.,"Quinoa pulao with pumpkin seeds, savory and aromatic.",6,"Pumpkin Seeds, Quinoa, Rosemary, Olive Oil",1
Pumpkin Seed And Quinoa Roast (mustard-Toss),120,4,28,Sour,Total: 30 M,"Mix ½ cup quinoa with ¼ cup pumpkin seeds. Add 1 tsp mustard seeds, 1 tbsp oil, ½ tsp black pepper. Roast 5 min.","Quinoa roast with pumpkin seeds, tangy and crunchy.",7,"Pumpkin Seeds, Quinoa, Mustard Seeds, Olive Oil, Black Pepper",1
Pumpkin Seed And Quinoa Soup (ginger-Garlic),120,4,29,Spicy,Total: 30 M,"Boil ½ cup quinoa with ¼ cup pumpkin seeds. Sauté 1 tsp ginger-garlic paste in 1 tbsp oil. Add quinoa and seeds, cook 5 min. Serve hot.","Quinoa soup with pumpkin seeds, lightly spicy and nourishing.",6,"Pumpkin Seeds, Quinoa, Ginger-Garlic Paste, Olive Oil",1
Pumpkin Seed And Sorghum Cutlets (seed-Mix),120,4,30,Astringent,Total: 30 M,"Mix ½ cup sorghum flour, ¼ cup pumpkin seeds, 1 tsp chopped parsley, 1 tbsp olive oil. Shape into cutlets and cook 5 min each side.","Sorghum cutlets with pumpkin seeds, healthy and mildly bitter.",6,"Pumpkin Seeds, Sorghum Flour, Parsley, Olive Oil",1
Pumpkin Seed And Sorghum Dumpling (steamed) (peppery),120,4,26,Spicy,Total: 30 M,Steam ½ cup sorghum with ¼ cup pumpkin seeds. Mix with ½ tsp black pepper and 1 tbsp olive oil. Serve warm.,"Steamed sorghum dumplings with pumpkin seeds, lightly spicy.",5,"Pumpkin Seeds, Sorghum, Black Pepper, Olive Oil",1
Pumpkin Seed And Sorghum Dumpling (steamed) (seed-Mix),120,4,27,Astringent,Total: 30 M,Steam ½ cup sorghum with ¼ cup pumpkin seeds. Mix with 1 tsp roasted sesame seeds. Serve warm.,"Sorghum dumplings with pumpkin seeds, nutty and healthy.",6,"Pumpkin Seeds, Sorghum, Sesame Seeds, Olive Oil",1
Pumpkin Seed And Sorghum Patties (sprouted),120,4,28,Spicy,Total in 30 M,Rinse and cook Khorasan Wheat with Pumpkin Seeds until tender. Sauté Carrot and Green Peas in Olive Oil. Add Cumin Seeds and Black Pepper for flavor. Mix the cooked wheat and vegetables together and cook for 2-3 minutes. Serve hot as a wholesome Pulao.,"This Pulao is rich in fiber and plant protein, helping lower LDL cholesterol and supporting heart health.",8,"Khorasan Wheat, Pumpkin Seeds, Carrot, Green Peas, Olive Oil, Cumin Seeds, Black Pepper",1
Pumpkin Seed And Sorghum Soup (herb-Crunch),120,4,29,"Bitter, Astringent",Total in 30 M,"Steam Khorasan Wheat and Pumpkin Seeds until soft. Roast Broccoli and Bell Pepper in Sunflower Oil. Mix the cooked wheat, pumpkin seeds, and roasted vegetables. Season with Turmeric and Coriander Leaves. Serve warm as a healthy salad.",The combination of Khorasan Wheat and pumpkin seeds helps reduce cholesterol and promotes a healthy heart.,7,"Khorasan Wheat, Pumpkin Seeds, Broccoli, Bell Pepper, Sunflower Oil, Turmeric, Coriander Leaves",1
Pumpkin Seed And Spelt Salad (turmeric-Ginger),120,4,30,Spicy,Total in 30 M,"Cook Millet and Pumpkin Seeds together until soft. Mash Carrot and Zucchini. Mix the millet, pumpkin seeds, and mashed vegetables. Add Ginger-Garlic Paste and Red Chili Powder for flavor. Shape into cutlets and pan-fry in Groundnut Oil until golden.",Millet and pumpkin seeds are rich in soluble fiber which may lower cholesterol and improve cardiovascular health.,8,"Millet, Pumpkin Seeds, Carrot, Zucchini, Ginger-Garlic Paste, Red Chili Powder, Groundnut Oil",1
Pumpkin Seed And Spelt Sandwich (herbed),120,4,26,"Sour, Astringent",Total in 30 M,Steam Millet and Pumpkin Seeds until tender. Toss with chopped Tomato and Lemon. Add Roasted Cumin Powder and Coriander Leaves. Mix everything thoroughly and serve as a healthy dumpling bowl.,This dish supports healthy cholesterol levels and provides antioxidants from pumpkin seeds and lemon.,7,"Millet, Pumpkin Seeds, Tomato, Lemon, Cumin Powder, Coriander Leaves",1
Pumpkin Seed And Spelt Upma (coriander-Mint),120,4,27,Spicy,Total in 30 M,"Cook Millet and Pumpkin Seeds. Roast Capsicum and Spinach in Olive Oil. Combine millet, pumpkin seeds, and roasted vegetables. Add Ginger-Garlic Paste and Black Pepper. Serve hot as a nutritious upma.","Rich in fiber and plant protein, this upma can help manage cholesterol and promote heart health.",8,"Millet, Pumpkin Seeds, Capsicum, Spinach, Olive Oil, Ginger-Garlic Paste, Black Pepper",4
Pumpkin Seed And Teff Dumpling (steamed) (cumin-Roasted),120,4,28,Spicy,Total in 30 M,"Roast Teff and Pumpkin Seeds together until aromatic. Steam Carrot and Beans and mix with roasted Teff. Add Cumin Seeds, Black Pepper, and Sunflower Oil. Shape into small dumplings and steam until cooked through. Serve hot with Coriander Leaves.","Teff and pumpkin seeds are rich in soluble fiber and plant protein, supporting heart health and reducing cholesterol levels.",7,"Teff, Pumpkin Seeds, Carrot, Beans, Cumin Seeds, Black Pepper, Sunflower Oil, Coriander Leaves",2
Pumpkin Seed And Teff Kofta (baked) (curry-Leaf),120,4,29,"Astringent, Spicy",Total in 35 M,Mix Teff and Pumpkin Seeds with chopped Spinach and Carrot. Add Curry Leaves and Olive Oil. Form the mixture into small koftas and bake until golden brown. Garnish with chopped Coriander Leaves. Serve warm.,"This kofta provides heart-healthy fats and fiber, helping lower LDL cholesterol naturally.",8,"Teff, Pumpkin Seeds, Spinach, Carrot, Curry Leaves, Olive Oil, Coriander Leaves",2
Pumpkin Seed And Teff Pancake (mustard-Toss),120,4,30,Spicy,Total in 25 M,Blend Teff and Pumpkin Seeds with grated Carrot and Red Chili Powder. Add Mustard Seeds and Groundnut Oil. Pour batter on a heated pan and cook into pancakes. Serve warm with Green Chutney.,"These pancakes are rich in protein and antioxidants, supporting cholesterol management and heart health.",7,"Teff, Pumpkin Seeds, Carrot, Red Chili Powder, Mustard Seeds, Groundnut Oil",1
Pumpkin Seed And Teff Paniyaram (fermented),120,4,26,Sour,Total in 30 M,Mix Teff and Pumpkin Seeds with grated Zucchini and Carrot. Add Lemon and Olive Oil. Shape into small paniyarams and steam until cooked. Garnish with Curry Leaves. Serve hot.,"Rice,Urad dal,Chickpeas improve gut health and soluble fiber helps manage cholesterol.",6,"Teff, Pumpkin Seeds, Zucchini, Carrot, Lemon, Olive Oil, Curry Leaves",1
Pumpkin Seed And Teff Patties (ginger-Garlic),120,4,27,Spicy,Total in 30 M,"Combine Teff, Pumpkin Seeds, Carrot, and Zucchini. Add Ginger-Garlic Paste and Sunflower Oil. Shape into small patties and bake until golden brown. Serve with Green Chutney.","Teff and pumpkin seeds are high in plant protein and fiber, beneficial for lowering cholesterol.",7,"Teff, Pumpkin Seeds, Carrot, Zucchini, Ginger-Garlic Paste, Sunflower Oil",1
Pumpkin Seed And Teff Pulao (sprouted),120,4,28,Astringent,Total in 35 M,Sprout Teff and Pumpkin Seeds overnight. Cook with grated Carrot and Spinach. Add Sunflower Oil and mix well. Serve hot as a Pulao garnished with Coriander Leaves.,"Sprouted Teff improves nutrient absorption and fiber content, supporting healthy cholesterol levels.",6,"Teff, Pumpkin Seeds, Carrot, Spinach, Sunflower Oil, Coriander Leaves",1
Pumpkin Seed And Teff Upma (herbed),120,4,29,"Bitter, Spicy",Total in 30 M,"Cook Teff and Pumpkin Seeds with chopped Carrot and Spinach. Add Cumin Seeds, Black Pepper, and Olive Oil. Mix well and cook until thickened. Serve warm.","This upma is rich in fiber and antioxidants, supporting heart health and cholesterol reduction.",7,"Teff, Pumpkin Seeds, Carrot, Spinach, Cumin Seeds, Black Pepper, Olive Oil",1
Pumpkin Seed And Wheat Idli Variant (ginger-Garlic),120,4,30,Spicy,Total in 25 M,Soak Wheat and Pumpkin Seeds. Grind into a batter and mix with grated Carrot and Ginger-Garlic Paste. Steam into idli molds until cooked. Serve warm with Chutney.,"Wheat and pumpkin seeds provide fiber and plant protein, aiding in lowering LDL cholesterol.",8,"Wheat, Pumpkin Seeds, Carrot, Ginger-Garlic Paste, Olive Oil",1
Pumpkin Seed And Wheat Idli Variant (no-Salt-Added),120,4,28,Astringent,Total in 30 M,Mix Wheat and Pumpkin Seeds without added salt. Steam into idli molds until cooked. Serve warm with Lemon.,Low-salt idli with Wheat and pumpkin seeds is heart-healthy and helps maintain cholesterol balance.,7,"Wheat, Pumpkin Seeds, Lemon, Olive Oil",1
Pumpkin Seed And Wheat Patties (herbed),120,4,29,"Bitter, Spicy",Total in 30 M,"Combine Wheat, Pumpkin Seeds, Carrot, and Zucchini. Add Olive Oil and Ginger-Garlic Paste. Shape into patties and bake until golden brown. Serve hot.","This patty is rich in fiber and antioxidants, supporting heart health and lowering cholesterol.",8,"Wheat, Pumpkin Seeds, Carrot, Zucchini, Olive Oil, Ginger-Garlic Paste",1
Pumpkin Seed And Wheat Tikka (grilled) (ginger-Garlic),120,4,30,Spicy,Total in 30 M,Mix Wheat and Pumpkin Seeds with Carrot and Ginger-Garlic Paste. Skewer into pieces and grill until golden brown. Serve warm.,"Grilled pumpkin seed and Wheat tikka is rich in plant protein and fiber, aiding in cholesterol control.",7,"Wheat, Pumpkin Seeds, Carrot, Ginger-Garlic Paste, Olive Oil",1
Pumpkin Seed And Wheat Upma (herb-Crunch),120,4,31,Astringent,Total in 30 M,Cook Wheat and Pumpkin Seeds with Carrot and Spinach. Add Olive Oil and Cumin Seeds. Mix until thickened and serve warm.,"This upma is rich in fiber and antioxidants, promoting heart health and lowering cholesterol naturally.",7,"Wheat, Pumpkin Seeds, Carrot, Spinach, Olive Oil, Cumin Seeds",1
Pumpkin Seed And Wheat Wrap (no-Salt-Added),120,4,32,Sour,Total in 25 M,Wrap cooked Wheat and Pumpkin Seeds with steamed Carrot and Spinach. Serve as a healthy no-salt wrap.,"This wrap provides fiber and plant protein, supporting cholesterol reduction and heart health.",6," Wheat, Pumpkin Seeds, Carrot, Spinach, Olive Oil",1
Pumpkin Seed And White Rice Cutlets (curry-Leaf),120,4,28,Spicy,Total in 30 M,Cook White Rice and Pumpkin Seeds together. Mix with Spinach and Curry Leaves sauted in sunflower Oil. Shape into cutlets and pan-fry until golden. Serve hot.,"White Rice and pumpkin seeds are rich in fiber and plant protein, helping manage cholesterol levels.",8,"White Rice, Pumpkin Seeds, Spinach, Curry Leaves, Sunflower Oil",1
